 נתונים היסטוריים  - סוף יום ת"א-125,,,,,,
מתאריך 27/05/2015  עד תאריך 28/05/2020
תאריך,מדד בסיס,מדד פתיחה,מדד נעילה,מדד גבוה,מדד נמוך,שווי שוק כולל (אלפי ש''ח)
27/05/2020,1425.45,1424.68,1415.01,1428.03,1406.87,640929224
26/05/2020,1430.22,1444.31,1425.45,1445.89,1421.90,645060825
25/05/2020,1422.78,1428.24,1430.22,1434.16,1423.74,645892511
24/05/2020,1406.53,1413.67,1422.78,1423.20,1413.17,642041078
21/05/2020,1417.24,1412.83,1406.53,1413.15,1400.07,636248446
20/05/2020,1406.28,1404.11,1417.24,1417.24,1401.61,641425439
19/05/2020,1402.82,1414.23,1406.28,1416.47,1398.05,635934741
18/05/2020,1378.01,1389.65,1402.82,1407.85,1387.65,635477187
17/05/2020,1330.77,1366.03,1378.01,1381.05,1365.15,623363773
14/05/2020,1394.58,1375.28,1330.77,1376.56,1327.79,601227414
13/05/2020,1420.07,1412.20,1394.58,1412.20,1391.25,630007391
12/05/2020,1429.25,1427.06,1420.07,1437.13,1413.37,643286398
11/05/2020,1435.03,1437.25,1429.25,1439.16,1412.73,644760066
10/05/2020,1411.22,1428.97,1435.03,1435.03,1426.24,648718057
07/05/2020,1394.65,1400.35,1411.22,1415.32,1400.35,639446621
06/05/2020,1393.14,1398.09,1394.65,1408.35,1390.91,630656398
05/05/2020,1361.04,1377.34,1393.14,1393.14,1376.95,631694508
04/05/2020,1377.45,1378.12,1361.04,1380.63,1350.65,617749067
03/05/2020,1407.20,1371.37,1377.45,1381.76,1367.27,625561938
30/04/2020,1392.31,1440.99,1407.20,1444.87,1402.79,639746868
27/04/2020,1381.28,1388.86,1392.31,1402.82,1382.89,632210771
26/04/2020,1343.16,1360.56,1381.28,1383.11,1358.66,627376425
23/04/2020,1322.14,1333.00,1343.16,1347.24,1331.00,611493745
22/04/2020,1320.41,1324.30,1322.14,1332.50,1316.44,601527076
21/04/2020,1349.87,1347.93,1320.41,1348.75,1313.91,600428212
20/04/2020,1368.18,1366.51,1349.87,1366.51,1342.01,613720357
19/04/2020,1299.99,1339.37,1368.18,1368.18,1337.72,621228198
16/04/2020,1320.74,1327.67,1299.99,1327.67,1292.37,590804545
13/04/2020,1333.48,1328.67,1320.74,1329.96,1309.30,602268866
12/04/2020,1312.52,1347.93,1333.48,1354.12,1328.39,608377963
07/04/2020,1270.15,1294.69,1312.52,1320.04,1293.75,596433169
06/04/2020,1207.78,1245.65,1270.15,1270.15,1234.52,575539417
05/04/2020,1233.00,1240.20,1207.78,1245.27,1207.78,545939903
02/04/2020,1236.83,1245.59,1233.00,1256.68,1226.87,557858868
01/04/2020,1276.88,1243.01,1236.83,1249.35,1227.60,558739233
31/03/2020,1243.69,1261.11,1276.88,1287.65,1245.89,577338258
30/03/2020,1217.43,1228.86,1243.69,1245.02,1216.88,563074280
29/03/2020,1232.08,1201.71,1217.43,1221.52,1189.24,550671992
26/03/2020,1191.77,1186.70,1232.08,1235.99,1179.38,557493408
25/03/2020,1188.85,1209.71,1191.77,1219.93,1166.26,538865924
24/03/2020,1105.95,1149.77,1188.85,1193.60,1147.28,538736447
23/03/2020,1115.46,1089.87,1105.95,1147.34,1076.65,502009188
22/03/2020,1161.80,1116.82,1115.46,1122.01,1106.53,507372606
19/03/2020,1113.17,1106.70,1161.80,1168.74,1102.47,527922680
18/03/2020,1190.32,1139.81,1113.17,1146.98,1113.17,505123712
17/03/2020,1170.06,1199.06,1190.32,1199.31,1142.16,539613547
16/03/2020,1227.46,1175.30,1170.06,1177.57,1120.00,530690895
15/03/2020,1194.69,1206.09,1227.46,1228.41,1182.59,556441480
12/03/2020,1274.15,1194.63,1194.69,1212.25,1155.81,539768955
11/03/2020,1318.72,1307.19,1274.15,1351.38,1271.60,577673942
09/03/2020,1412.32,1318.97,1318.72,1351.46,1285.68,597887834
08/03/2020,1479.93,1424.84,1412.32,1439.70,1371.84,640353153
05/03/2020,1508.84,1510.72,1479.93,1512.26,1466.80,671907983
04/03/2020,1541.83,1534.99,1508.84,1536.07,1499.49,684988934
03/03/2020,1522.13,1561.34,1541.83,1567.99,1537.97,700161928
01/03/2020,1542.55,1532.66,1522.13,1539.05,1509.10,691423745
27/02/2020,1609.09,1591.00,1542.55,1591.00,1542.55,701682343
26/02/2020,1609.53,1591.28,1609.09,1621.50,1573.31,731187074
25/02/2020,1597.06,1611.16,1609.53,1620.23,1589.73,731390874
24/02/2020,1624.12,1599.41,1597.06,1603.96,1572.73,725559599
23/02/2020,1666.96,1634.79,1624.12,1634.79,1619.40,738995364
20/02/2020,1676.71,1678.13,1666.96,1681.57,1664.29,759447239
19/02/2020,1656.20,1663.72,1676.71,1677.20,1662.10,763970832
18/02/2020,1668.74,1651.99,1656.20,1656.72,1648.03,754242232
17/02/2020,1668.95,1674.02,1668.74,1678.62,1665.00,759488339
16/02/2020,1664.52,1662.15,1668.95,1674.26,1662.02,759658508
13/02/2020,1684.12,1678.00,1664.52,1679.10,1657.28,754871631
12/02/2020,1664.54,1664.44,1684.12,1684.12,1664.44,764899975
11/02/2020,1644.09,1653.80,1664.54,1665.32,1650.17,755582160
10/02/2020,1637.00,1640.85,1644.09,1644.58,1631.76,746653346
09/02/2020,1665.07,1657.66,1637.00,1657.73,1637.00,743560815
06/02/2020,1657.02,1673.96,1665.07,1673.96,1662.65,756784905
05/02/2020,1630.18,1633.45,1657.02,1657.18,1630.80,745070826
04/02/2020,1602.72,1614.32,1630.18,1630.18,1614.32,732043487
03/02/2020,1586.98,1591.16,1602.72,1605.97,1578.95,718991157
02/02/2020,1635.45,1608.67,1586.98,1609.52,1570.36,712488379
30/01/2020,1643.28,1633.70,1635.45,1636.74,1626.90,733720775
29/01/2020,1637.32,1640.53,1643.28,1651.63,1638.97,738111032
28/01/2020,1635.41,1643.19,1637.32,1647.79,1630.28,734685445
27/01/2020,1661.73,1652.61,1635.41,1652.61,1629.33,733828708
26/01/2020,1679.56,1668.06,1661.73,1668.60,1659.08,745738164
23/01/2020,1682.44,1680.50,1679.56,1684.78,1675.64,753815101
22/01/2020,1663.97,1670.52,1682.44,1683.91,1670.52,754984856
21/01/2020,1662.07,1659.46,1663.97,1665.35,1648.27,746742446
20/01/2020,1665.70,1665.29,1662.07,1666.40,1659.22,746538512
19/01/2020,1657.87,1661.38,1665.70,1665.70,1659.54,747648510
16/01/2020,1645.80,1648.89,1657.87,1657.87,1648.34,743580631
15/01/2020,1630.72,1638.34,1645.80,1645.80,1637.07,738317291
14/01/2020,1623.74,1628.45,1630.72,1630.72,1623.57,731374408
13/01/2020,1622.50,1623.43,1623.74,1625.89,1618.41,728534461
12/01/2020,1623.66,1623.78,1622.50,1624.36,1619.43,728415328
09/01/2020,1621.66,1623.39,1623.66,1628.24,1620.80,728310622
08/01/2020,1616.49,1614.97,1621.66,1622.39,1610.91,728141791
07/01/2020,1617.15,1620.94,1616.49,1622.01,1612.56,726061576
06/01/2020,1624.61,1622.82,1617.15,1623.22,1605.96,725804324
05/01/2020,1631.67,1624.53,1624.61,1626.04,1621.23,728670287
02/01/2020,1623.71,1624.05,1631.67,1635.90,1624.05,731710514
01/01/2020,1616.70,1619.73,1623.71,1624.28,1619.65,727934798
31/12/2019,1605.36,1606.30,1616.70,1616.70,1606.30,724648277
30/12/2019,1609.90,1611.26,1605.36,1614.91,1605.17,719442682
29/12/2019,1614.30,1612.60,1609.90,1614.64,1608.19,721469630
26/12/2019,1617.47,1616.66,1614.30,1618.09,1611.64,721932112
25/12/2019,1617.50,1618.37,1617.47,1624.94,1617.47,723390106
24/12/2019,1608.72,1612.89,1617.50,1618.05,1610.80,722995522
23/12/2019,1612.98,1613.02,1608.72,1613.98,1602.39,718674832
22/12/2019,1606.98,1616.30,1612.98,1616.89,1612.59,720064324
19/12/2019,1616.04,1613.57,1606.98,1616.78,1605.15,717911051
18/12/2019,1616.34,1616.12,1616.04,1618.41,1613.40,720980404
17/12/2019,1621.55,1620.55,1616.34,1621.25,1614.16,721679920
16/12/2019,1618.79,1619.95,1621.55,1621.55,1615.45,723855675
15/12/2019,1620.67,1619.71,1618.79,1623.84,1617.32,725477692
12/12/2019,1619.12,1616.97,1620.67,1620.67,1610.38,726230321
11/12/2019,1616.15,1614.79,1619.12,1619.12,1612.19,725565119
10/12/2019,1615.23,1614.14,1616.15,1616.15,1604.91,724359681
09/12/2019,1613.26,1612.29,1615.23,1615.23,1608.45,725028437
08/12/2019,1598.58,1607.13,1613.26,1613.26,1607.13,724237032
05/12/2019,1600.70,1612.09,1598.58,1612.09,1597.35,717345377
04/12/2019,1589.60,1591.46,1600.70,1602.32,1589.68,718410775
03/12/2019,1607.06,1608.83,1589.60,1609.42,1585.35,714442873
02/12/2019,1618.11,1620.94,1607.06,1621.90,1604.02,722440039
01/12/2019,1625.50,1623.71,1618.11,1627.16,1614.90,728167780
28/11/2019,1617.68,1618.55,1625.50,1625.50,1615.44,730940764
27/11/2019,1616.93,1615.69,1617.68,1621.98,1614.51,727825763
26/11/2019,1611.21,1613.75,1616.93,1617.85,1612.59,727566739
25/11/2019,1592.12,1595.17,1611.21,1611.21,1595.17,724276915
24/11/2019,1587.67,1590.40,1592.12,1592.21,1588.38,716572059
21/11/2019,1592.93,1593.09,1587.67,1593.74,1586.21,712850298
20/11/2019,1597.08,1589.48,1592.93,1593.32,1586.55,714859433
19/11/2019,1588.92,1592.66,1597.08,1600.77,1590.65,716432815
18/11/2019,1592.25,1593.85,1588.92,1595.83,1585.59,711847169
17/11/2019,1578.98,1590.47,1592.25,1592.89,1590.34,713810811
14/11/2019,1570.94,1579.47,1578.98,1580.56,1575.67,708790544
13/11/2019,1569.13,1570.79,1570.94,1572.51,1563.86,704783168
12/11/2019,1571.16,1567.56,1569.13,1569.90,1560.35,703306988
11/11/2019,1582.46,1578.43,1571.16,1580.12,1569.23,704958913
10/11/2019,1585.28,1585.98,1582.46,1587.96,1579.48,710322882
07/11/2019,1583.66,1587.63,1585.28,1587.63,1580.87,712373196
06/11/2019,1590.91,1589.15,1583.66,1590.55,1583.55,711494486
05/11/2019,1590.36,1592.71,1590.91,1594.40,1585.69,714062498
04/11/2019,1590.91,1591.30,1590.36,1597.19,1589.47,713619534
03/11/2019,1577.97,1585.52,1590.91,1590.91,1584.57,713941555
31/10/2019,1577.23,1577.24,1577.97,1584.81,1571.77,708330347
30/10/2019,1584.38,1582.18,1577.23,1586.21,1575.65,707541460
29/10/2019,1586.69,1585.45,1584.38,1587.95,1578.16,710650304
28/10/2019,1580.96,1581.37,1586.69,1588.86,1580.95,711953855
27/10/2019,1573.14,1577.92,1580.96,1581.03,1576.58,709742073
24/10/2019,1570.33,1580.39,1573.14,1582.72,1569.86,705969274
23/10/2019,1576.97,1573.09,1570.33,1580.41,1569.13,705066795
22/10/2019,1570.71,1581.62,1576.97,1582.58,1575.40,707768940
17/10/2019,1569.27,1563.08,1570.71,1572.23,1561.71,705973287
16/10/2019,1552.54,1557.31,1569.27,1569.27,1555.54,705565708
15/10/2019,1535.18,1547.59,1552.54,1552.54,1547.58,698070407
10/10/2019,1532.61,1528.50,1535.18,1535.18,1524.84,689427599
07/10/2019,1530.72,1528.07,1532.61,1532.61,1524.95,688402986
06/10/2019,1508.71,1524.43,1530.72,1530.72,1524.43,687366465
03/10/2019,1520.78,1522.17,1508.71,1522.17,1508.71,678807978
02/10/2019,1532.56,1528.52,1520.78,1529.35,1516.46,680874463
26/09/2019,1520.49,1535.19,1532.56,1535.99,1529.99,686053047
25/09/2019,1524.32,1520.66,1520.49,1522.98,1515.68,681113352
24/09/2019,1519.33,1521.24,1524.32,1525.46,1520.38,682101583
23/09/2019,1520.33,1523.93,1519.33,1528.42,1517.89,679179290
22/09/2019,1528.07,1518.41,1520.33,1520.33,1515.75,679071832
19/09/2019,1522.94,1523.38,1528.07,1530.69,1521.32,682371702
18/09/2019,1516.06,1513.90,1522.94,1530.56,1513.55,679897282
16/09/2019,1516.69,1513.02,1516.06,1516.06,1506.59,676977547
15/09/2019,1520.51,1518.62,1516.69,1520.45,1515.82,677667182
12/09/2019,1512.62,1519.61,1520.51,1521.60,1515.74,679280686
11/09/2019,1497.64,1501.02,1512.62,1512.62,1501.02,676052476
10/09/2019,1492.07,1493.05,1497.64,1499.21,1490.49,670392677
09/09/2019,1489.77,1489.25,1492.07,1492.26,1483.97,669591544
08/09/2019,1481.17,1492.33,1489.77,1494.35,1489.77,669354065
05/09/2019,1478.66,1485.52,1481.17,1487.40,1478.10,665645736
04/09/2019,1468.53,1475.71,1478.66,1483.10,1475.71,663361607
03/09/2019,1478.81,1478.10,1468.53,1478.10,1467.05,658126696
02/09/2019,1480.29,1480.35,1478.81,1486.13,1476.05,662649989
01/09/2019,1480.50,1478.99,1480.29,1482.68,1478.38,663031751
29/08/2019,1460.66,1476.79,1480.50,1480.50,1471.93,662980286
28/08/2019,1469.67,1465.97,1460.66,1467.28,1452.82,653873502
27/08/2019,1471.46,1475.80,1469.67,1477.49,1464.31,657812940
26/08/2019,1459.73,1459.61,1471.46,1475.85,1459.37,658712886
25/08/2019,1506.12,1473.18,1459.73,1473.18,1459.73,652950416
22/08/2019,1501.05,1495.20,1506.12,1509.72,1495.20,673449151
21/08/2019,1490.23,1490.51,1501.05,1502.70,1490.35,672031901
20/08/2019,1483.62,1485.19,1490.23,1490.23,1477.19,667956808
19/08/2019,1462.91,1469.55,1483.62,1483.62,1465.14,665611866
18/08/2019,1457.61,1468.22,1462.91,1475.20,1458.00,657409700
15/08/2019,1471.14,1470.71,1457.61,1476.74,1445.05,654757748
14/08/2019,1509.06,1509.49,1471.14,1510.73,1468.15,661750981
13/08/2019,1499.92,1492.16,1509.06,1509.06,1490.03,678802627
12/08/2019,1507.64,1509.94,1499.92,1513.99,1495.97,675125474
08/08/2019,1479.28,1501.55,1507.64,1507.64,1494.84,679138078
07/08/2019,1491.75,1489.91,1479.28,1501.82,1472.40,665779784
06/08/2019,1485.09,1485.59,1491.75,1497.30,1481.40,672752292
05/08/2019,1515.61,1504.34,1485.09,1504.34,1485.09,673752843
04/08/2019,1518.43,1501.93,1515.61,1518.02,1499.55,687216234
01/08/2019,1513.53,1508.32,1518.43,1521.47,1504.68,687461182
31/07/2019,1500.13,1505.15,1513.53,1513.95,1505.08,688507198
30/07/2019,1504.15,1504.83,1500.13,1505.71,1494.24,682808797
29/07/2019,1509.73,1508.82,1504.15,1510.64,1503.14,685515434
28/07/2019,1498.45,1503.13,1509.73,1510.84,1502.92,688321031
25/07/2019,1499.37,1510.05,1498.45,1510.05,1493.17,682559292
24/07/2019,1483.45,1484.84,1499.37,1499.97,1483.82,682650971
23/07/2019,1469.28,1471.99,1483.45,1483.62,1468.98,675264936
22/07/2019,1464.05,1467.02,1469.28,1472.43,1467.02,669190506
21/07/2019,1462.21,1459.79,1464.05,1464.05,1456.87,667655003
18/07/2019,1473.63,1470.08,1462.21,1470.57,1460.03,666914708
17/07/2019,1488.38,1485.81,1473.63,1487.84,1473.23,673119441
16/07/2019,1491.14,1491.84,1488.38,1492.68,1486.27,679628560
15/07/2019,1494.92,1494.07,1491.14,1495.07,1488.36,680899022
14/07/2019,1488.35,1497.53,1494.92,1498.59,1493.95,682953697
11/07/2019,1488.80,1490.64,1488.35,1491.57,1485.41,679886333
10/07/2019,1484.79,1485.85,1488.80,1490.81,1483.55,680083055
09/07/2019,1479.12,1472.54,1484.79,1484.79,1472.31,678470560
08/07/2019,1487.71,1483.15,1479.12,1483.38,1477.08,675139884
07/07/2019,1490.84,1488.94,1487.71,1490.15,1486.66,678319726
04/07/2019,1487.54,1489.58,1490.84,1492.04,1486.48,680087958
03/07/2019,1483.50,1486.14,1487.54,1489.98,1484.36,678049590
02/07/2019,1483.72,1485.75,1483.50,1487.38,1481.53,675613031
01/07/2019,1485.16,1488.47,1483.72,1491.89,1483.72,676613349
30/06/2019,1467.76,1477.92,1485.16,1485.79,1477.92,677794819
27/06/2019,1462.61,1471.21,1467.76,1473.29,1465.99,669632161
26/06/2019,1458.11,1459.62,1462.61,1466.64,1457.40,667883368
25/06/2019,1464.49,1461.85,1458.11,1463.58,1457.82,664945717
24/06/2019,1464.37,1467.97,1464.49,1471.46,1462.81,667370320
23/06/2019,1463.59,1462.76,1464.37,1464.48,1461.06,666843318
20/06/2019,1453.83,1463.03,1463.59,1467.72,1462.17,667403009
19/06/2019,1449.69,1448.57,1453.83,1453.92,1447.53,663374225
18/06/2019,1436.78,1437.74,1449.69,1450.84,1433.78,661846715
17/06/2019,1444.03,1446.88,1436.78,1446.96,1432.71,656779943
16/06/2019,1446.77,1442.54,1444.03,1446.80,1442.45,660078684
13/06/2019,1434.40,1436.14,1446.77,1446.77,1435.40,662417999
12/06/2019,1443.21,1435.16,1434.40,1436.76,1432.61,656790078
11/06/2019,1449.56,1449.80,1443.21,1450.01,1441.60,661590843
10/06/2019,1430.84,1446.53,1449.56,1449.56,1443.73,663629982
06/06/2019,1435.90,1441.20,1430.84,1441.43,1430.84,654501195
05/06/2019,1431.18,1436.17,1435.90,1441.55,1432.67,652285676
04/06/2019,1419.08,1418.53,1431.18,1431.90,1417.74,651812995
03/06/2019,1415.67,1416.38,1419.08,1419.66,1408.11,646074759
02/06/2019,1434.90,1415.16,1415.67,1416.04,1408.73,643674208
30/05/2019,1429.83,1438.47,1434.90,1439.66,1427.60,653055222
29/05/2019,1448.21,1436.35,1429.83,1437.78,1426.21,649736128
28/05/2019,1449.27,1452.36,1448.21,1453.89,1443.84,659384535
27/05/2019,1454.33,1457.21,1449.27,1460.55,1448.61,660546022
26/05/2019,1448.11,1448.78,1454.33,1454.33,1444.22,662312828
23/05/2019,1463.90,1459.65,1448.11,1459.65,1447.52,660625315
22/05/2019,1453.82,1453.49,1463.90,1463.90,1451.52,667922274
21/05/2019,1443.81,1453.65,1453.82,1456.76,1447.63,663490461
20/05/2019,1453.72,1456.35,1443.81,1458.96,1436.92,657749237
19/05/2019,1452.69,1451.76,1453.72,1456.01,1449.89,661784202
16/05/2019,1430.59,1437.11,1452.69,1452.69,1434.98,661325275
15/05/2019,1436.03,1437.64,1430.59,1438.70,1421.85,651072642
14/05/2019,1420.05,1423.67,1436.03,1438.46,1423.67,656234338
13/05/2019,1452.89,1446.04,1420.05,1447.84,1419.83,649334223
12/05/2019,1459.58,1455.14,1452.89,1455.61,1450.14,663709142
07/05/2019,1448.68,1455.42,1459.58,1464.19,1453.55,670680522
06/05/2019,1461.44,1442.89,1448.68,1448.77,1438.82,666134602
05/05/2019,1457.44,1463.78,1461.44,1465.36,1455.58,672447200
02/05/2019,1466.26,1461.01,1457.44,1465.41,1452.88,670611453
01/05/2019,1468.61,1474.04,1466.26,1476.91,1461.64,674200006
30/04/2019,1487.20,1484.14,1468.61,1485.74,1467.35,675236679
29/04/2019,1494.75,1494.36,1487.20,1495.32,1487.20,683253085
28/04/2019,1484.62,1491.26,1494.75,1497.13,1491.26,687276715
24/04/2019,1470.05,1478.52,1484.62,1484.95,1475.87,681773199
23/04/2019,1461.54,1467.15,1470.05,1470.58,1464.53,675266870
22/04/2019,1468.25,1466.98,1461.54,1467.40,1459.20,670444917
21/04/2019,1460.06,1466.43,1468.25,1469.13,1466.43,673485522
18/04/2019,1469.28,1471.21,1460.06,1471.21,1456.40,669160734
17/04/2019,1479.44,1479.01,1469.28,1480.65,1467.64,673364147
16/04/2019,1471.78,1474.12,1479.44,1481.36,1474.12,678012651
15/04/2019,1472.72,1475.22,1471.78,1475.43,1471.03,675087341
14/04/2019,1461.96,1466.93,1472.72,1475.76,1466.93,675174621
11/04/2019,1455.19,1462.71,1461.96,1464.27,1455.16,670157729
10/04/2019,1442.30,1448.45,1455.19,1457.52,1447.53,666830191
08/04/2019,1434.31,1436.31,1442.30,1447.55,1433.22,662853548
07/04/2019,1423.55,1431.85,1434.31,1435.09,1428.63,660089974
04/04/2019,1434.72,1433.21,1423.55,1433.37,1423.55,655869578
03/04/2019,1430.40,1432.92,1434.72,1439.51,1430.76,656076815
02/04/2019,1430.44,1431.11,1430.40,1432.56,1425.71,657415218
01/04/2019,1418.03,1423.99,1430.44,1430.70,1423.99,657088732
31/03/2019,1404.39,1414.34,1418.03,1418.36,1414.20,652039474
28/03/2019,1415.34,1402.69,1404.39,1410.01,1402.69,646649128
27/03/2019,1412.66,1415.41,1415.34,1419.09,1409.95,652144852
26/03/2019,1392.89,1397.74,1412.66,1413.47,1397.18,650392205
25/03/2019,1401.39,1393.24,1392.89,1396.76,1389.49,642363987
24/03/2019,1419.08,1403.38,1401.39,1403.46,1397.76,646984067
20/03/2019,1424.46,1426.97,1419.08,1427.18,1416.23,655136570
19/03/2019,1425.04,1423.89,1424.46,1430.59,1420.46,657361774
18/03/2019,1428.19,1430.75,1425.04,1430.75,1421.68,657386274
17/03/2019,1418.25,1423.50,1428.19,1429.48,1422.52,658454669
14/03/2019,1423.57,1419.38,1418.25,1424.01,1413.68,654000713
13/03/2019,1407.34,1406.27,1423.57,1423.57,1404.77,655005781
12/03/2019,1412.23,1418.27,1407.34,1422.31,1407.34,647853879
11/03/2019,1404.17,1408.27,1412.23,1412.35,1402.32,650065107
10/03/2019,1408.20,1409.95,1404.17,1410.40,1403.56,646654558
07/03/2019,1428.84,1421.35,1408.20,1422.32,1408.20,648978823
06/03/2019,1432.15,1433.88,1428.84,1433.88,1428.44,657969600
05/03/2019,1444.56,1442.00,1432.15,1442.48,1430.15,658774321
04/03/2019,1438.70,1441.19,1444.56,1448.13,1441.13,665820887
03/03/2019,1431.31,1435.93,1438.70,1438.76,1435.48,662958777
28/02/2019,1425.21,1422.59,1431.31,1431.81,1417.76,659290231
27/02/2019,1440.08,1435.58,1425.21,1435.98,1423.07,657217972
26/02/2019,1445.49,1441.70,1440.08,1443.03,1435.77,663377958
25/02/2019,1434.08,1437.89,1445.49,1448.35,1437.85,669922581
24/02/2019,1428.72,1430.48,1434.08,1434.61,1429.89,664941606
